observation_id,date,station_id,country,latitude,longitude,elevation_m,avg_temperature_c,max_temperature_c,min_temperature_c,precipitation_mm,snowfall_cm,humidity_percent,wind_speed_kmh,wind_direction,solar_radiation_wm2,atmospheric_pressure_hpa,cloud_cover_percent,uv_index,soil_moisture_percent,drought_index,evapotranspiration_mm,air_quality_index,pm25,pm10,co2_ppm,methane_ppb,ozone_ppb,climate_zone,weather_event,disaster_risk
528,2024-10-16,NOAA1024,Canada,25.4524,-102.1925,1332.1,17.4,20.7,13.1,11.6,0.0,60,30.4,N,628.3,1016.2,4,9,46.2,Medium,4.48,114,31.3,62.3,426.1,1942.2,39.2,Polar,Rain,Low
529,2021-11-29,NOAA1027,Canada,43.7827,-71.0717,2257.2,10.7,17.5,5.4,17.7,0.0,64,43.0,S,786.8,1006.4,68,8,43.6,Medium,3.04,120,23.2,60.4,409.0,1914.1,24.2,Continental,Fog,Low
530,2020-09-27,NOAA1017,Mexico,47.8232,-119.1244,749.8,24.2,29.5,20.2,44.1,0.0,61,19.0,S,389.4,1005.4,84,5,47.2,Low,5.25,60,15.2,39.3,416.0,1843.3,33.3,Arid,Storm,Low
531,2022-06-27,NOAA1001,Canada,25.2129,-121.8908,1076.2,25.4,31.2,20.1,14.5,0.0,57,19.6,NE,321.2,1013.6,78,9,36.9,Medium,3.94,101,24.0,58.5,423.4,1910.7,37.3,Arid,Heatwave,Low
532,2021-04-10,NOAA1011,USA,45.9097,-86.6092,698.0,17.5,23.4,14.4,12.1,0.0,62,23.8,NW,563.9,1016.7,5,9,46.9,Medium,2.75,108,31.7,44.3,419.8,1870.9,37.7,Arid,Coldwave,High
533,2020-04-01,NOAA1015,Canada,27.6199,-95.1045,339.5,14.2,16.7,11.0,26.4,0.0,69,26.5,W,157.1,1008.3,54,5,42.6,Low,2.78,101,21.7,45.0,426.3,1882.8,43.3,Arid,Heatwave,Medium
534,2023-06-27,NOAA1010,Canada,26.0707,-70.9724,2735.6,30.2,32.4,24.5,18.5,0.0,46,36.7,SW,852.0,1006.4,48,10,24.7,Medium,5.98,110,28.0,53.7,410.9,1949.2,57.8,Temperate,Rain,High
535,2022-10-28,NOAA1040,Mexico,42.6148,-93.2789,363.7,17.0,24.3,10.2,5.2,0.0,56,28.1,NW,353.6,1013.2,24,10,35.9,Medium,3.04,114,31.7,66.9,423.0,1912.5,49.5,Tropical,Heatwave,Medium
536,2024-03-12,NOAA1044,USA,35.6802,-69.4163,1229.8,5.0,7.5,-0.4,22.4,0.0,51,5.3,SW,622.7,1017.7,77,4,34.9,Low,1.59,90,28.7,43.7,426.5,1882.9,43.2,Continental,Fog,High
537,2023-09-25,NOAA1038,Canada,44.1005,-104.5304,353.9,21.1,25.6,16.1,24.1,0.0,53,8.4,NW,606.1,1022.2,98,4,43.5,Low,4.92,80,20.6,46.3,419.5,1902.9,40.6,Polar,Fog,Medium
538,2024-03-01,NOAA1008,USA,45.0126,-122.6359,500.8,9.4,11.8,4.3,29.8,0.0,55,24.8,W,823.4,1012.3,45,3,36.9,Low,2.52,93,18.7,53.0,422.7,1886.6,29.2,Arid,Coldwave,High
539,2023-06-16,NOAA1046,USA,26.7701,-71.5187,2849.8,28.8,36.3,23.0,14.3,0.0,46,33.8,W,331.4,1027.5,61,3,35.9,Medium,5.77,122,22.3,60.8,430.2,1893.9,44.3,Polar,Coldwave,Medium
540,2023-10-12,NOAA1029,Canada,32.6905,-113.9268,2167.6,20.4,24.1,13.8,30.3,0.0,73,12.0,NW,372.9,1021.5,72,9,57.5,Low,4.22,101,20.3,42.5,422.9,1924.3,38.2,Tropical,Rain,Low
541,2024-07-25,NOAA1027,Mexico,31.6781,-73.8637,943.1,27.3,31.4,24.3,14.1,0.0,49,14.4,NW,451.1,1014.5,21,5,41.3,Medium,4.61,96,30.7,56.3,412.7,1866.5,38.9,Tropical,None,Low
542,2023-02-04,NOAA1048,USA,25.6564,-72.5551,2879.6,4.2,9.4,-2.6,8.6,0.0,56,2.3,N,395.6,1023.8,36,10,38.0,Medium,1.52,104,31.2,51.6,420.2,1889.4,39.5,Temperate,Fog,High
543,2024-09-26,NOAA1028,Canada,36.8381,-119.0488,410.5,24.9,28.6,18.9,3.6,0.0,40,43.6,NE,695.4,1003.0,28,2,25.2,High,4.75,118,28.6,62.9,428.1,1893.7,65.9,Temperate,Fog,High
544,2021-10-06,NOAA1027,USA,47.3768,-78.7307,952.6,26.2,33.2,20.2,11.5,0.0,42,39.7,N,859.3,1012.1,80,1,25.3,Medium,5.1,107,28.9,49.6,407.6,1969.8,51.2,Tropical,Heatwave,Low
545,2024-02-11,NOAA1018,USA,29.7658,-74.0758,2852.5,1.5,8.6,-5.0,19.3,0.1,61,4.9,SE,668.0,1009.1,4,7,45.7,Medium,1.45,100,26.6,50.0,410.4,1807.4,46.9,Tropical,Storm,Low
546,2024-11-27,NOAA1042,Canada,36.7653,-88.0884,1793.5,5.7,11.0,1.9,1.5,0.0,44,11.4,S,435.7,1014.2,57,6,26.8,High,1.7,114,29.3,55.6,420.0,1900.8,38.2,Temperate,Storm,High
547,2022-03-26,NOAA1049,Canada,45.1629,-74.7515,1803.2,12.5,18.6,10.3,3.4,0.0,41,13.5,SE,811.8,1009.7,100,7,21.7,High,3.42,117,30.9,56.5,414.3,1920.9,42.6,Continental,Heatwave,Medium
548,2021-06-17,NOAA1017,Canada,42.4765,-104.629,2455.6,28.7,32.6,24.2,5.5,0.0,39,26.6,E,528.8,1011.5,99,11,21.1,Medium,6.24,120,24.9,58.0,410.1,1840.4,51.6,Temperate,Heatwave,Low
549,2024-05-17,NOAA1022,Mexico,26.5232,-121.1947,631.4,25.2,30.4,17.3,12.3,0.0,52,38.0,W,787.8,1009.4,29,5,41.2,Medium,5.6,113,26.1,54.9,414.5,1821.2,40.8,Tropical,None,Low
550,2024-09-27,NOAA1048,Mexico,27.4605,-101.3176,1454.7,32.2,35.1,28.4,16.4,0.0,44,11.9,SE,127.0,1012.8,95,2,35.8,Medium,5.59,113,22.2,56.6,422.0,1835.0,42.3,Arid,None,Low
551,2020-05-31,NOAA1046,Mexico,43.2973,-100.3233,44.2,19.7,26.7,14.1,3.4,0.0,53,8.5,W,255.4,1008.9,77,5,41.7,High,3.81,102,27.2,57.5,428.0,1880.1,33.7,Temperate,Storm,High
552,2023-03-26,NOAA1024,Canada,35.3088,-111.3316,1219.0,7.0,10.7,3.3,2.1,0.0,51,32.2,SE,405.9,1016.8,63,7,42.9,High,2.58,108,29.0,60.5,427.4,1887.9,39.9,Temperate,Heatwave,Low
553,2022-07-04,NOAA1030,Mexico,27.6148,-106.2952,431.3,34.7,40.5,32.2,7.2,0.0,50,26.1,SE,791.9,1010.5,62,10,31.0,Medium,5.49,127,28.4,63.2,418.8,1886.9,31.7,Tropical,None,Medium
554,2021-05-31,NOAA1019,Mexico,33.1088,-115.4151,964.3,17.3,22.7,12.9,18.7,0.0,59,2.2,SE,704.0,1008.6,62,9,41.3,Medium,4.51,101,23.5,54.8,412.9,1912.8,43.9,Polar,Coldwave,High
555,2024-02-10,NOAA1006,Canada,41.7821,-102.5859,2270.7,1.1,4.1,-5.4,6.6,3.3,40,20.8,NE,131.2,1013.7,54,8,22.7,Medium,1.77,129,24.7,64.2,424.7,1883.5,42.1,Continental,Heatwave,Low
556,2021-08-30,NOAA1027,Canada,42.2786,-73.8271,813.3,29.0,32.9,21.7,13.4,0.0,46,26.2,E,213.2,1010.4,66,11,27.5,Medium,5.58,114,26.8,48.3,414.9,1864.4,33.2,Continental,Rain,Medium
557,2024-03-09,NOAA1010,Mexico,42.162,-96.9894,953.1,4.1,7.2,-0.7,25.5,0.0,54,44.7,N,349.5,995.1,24,4,40.9,Low,1.69,100,19.6,49.7,412.9,1920.5,40.3,Polar,Rain,Low
558,2021-12-18,NOAA1035,USA,33.279,-123.1946,577.9,-5.9,-2.2,-13.4,21.3,8.5,67,33.4,SW,599.6,1019.5,51,5,47.9,Low,0.5,95,20.4,42.4,421.3,1852.2,38.2,Tropical,Storm,Low
559,2021-06-22,NOAA1006,USA,44.1252,-90.5229,2298.2,25.0,29.0,18.4,8.8,0.0,58,27.5,S,873.3,1012.2,94,10,43.3,Medium,4.7,106,22.8,50.2,416.9,1895.1,36.8,Tropical,None,High
560,2020-10-27,NOAA1010,Canada,45.9907,-105.5697,2687.9,12.3,14.6,7.2,9.6,0.0,44,20.9,NW,361.7,1015.2,64,2,26.7,Medium,2.63,119,29.7,52.3,430.5,1877.4,49.6,Polar,Storm,High
561,2020-06-09,NOAA1013,USA,47.6918,-76.4845,2134.0,22.1,29.1,16.7,9.8,0.0,59,23.1,S,648.3,1010.4,71,7,43.7,Medium,3.67,118,31.1,60.5,429.5,1919.2,38.4,Arid,Fog,Medium
562,2021-03-13,NOAA1035,USA,34.179,-113.7967,2242.9,7.9,10.0,3.2,27.2,0.0,70,24.6,N,569.0,1001.6,42,2,55.6,Low,3.02,109,27.4,48.5,422.4,1856.6,36.5,Temperate,Fog,Medium
563,2023-08-07,NOAA1025,USA,48.8977,-83.8569,822.5,34.7,37.0,29.3,10.7,0.0,56,3.3,NW,897.8,1010.3,80,8,39.0,Medium,6.15,128,30.4,45.4,427.8,1845.1,52.9,Temperate,Coldwave,High
564,2020-11-09,NOAA1008,USA,35.0697,-75.7892,168.1,12.3,18.1,9.9,28.1,0.0,56,6.2,S,886.7,1009.3,24,11,41.0,Low,1.88,96,27.0,39.3,431.3,1894.2,37.4,Polar,Fog,Medium
565,2022-11-23,NOAA1042,Canada,34.9931,-85.9398,184.5,12.2,15.4,5.6,4.8,0.0,37,8.3,S,167.2,1022.2,56,1,22.3,High,2.23,132,27.9,60.3,408.8,1923.7,34.2,Temperate,Storm,Medium
566,2023-02-22,NOAA1007,Canada,36.1901,-76.342,258.3,2.2,9.8,-0.3,9.2,0.0,51,41.5,E,683.6,1006.7,23,6,37.2,Medium,2.26,105,30.6,49.8,411.5,1898.2,43.8,Arid,Heatwave,Low
567,2024-12-01,NOAA1019,Mexico,40.4156,-72.6157,573.3,1.1,7.6,-1.7,21.4,1.1,54,32.4,E,323.2,1006.5,72,6,36.4,Low,1.84,100,28.5,42.8,421.1,1939.8,28.9,Arid,Storm,High
568,2022-06-19,NOAA1005,Canada,33.5237,-103.274,2317.1,28.6,33.7,21.6,4.9,0.0,45,31.5,E,129.4,1001.2,74,7,26.0,High,5.43,127,27.2,63.8,423.0,1894.6,44.9,Arid,Rain,Medium
569,2023-12-03,NOAA1035,Mexico,44.0631,-118.8268,2320.2,8.0,11.5,3.2,11.0,0.0,57,3.4,NE,513.6,999.6,80,3,39.5,Medium,2.13,114,26.0,52.1,422.4,1907.0,25.2,Polar,None,Medium
570,2023-12-07,NOAA1040,Canada,45.8639,-123.5498,1264.2,-1.6,2.4,-7.5,12.7,2.0,45,41.3,S,230.2,1017.3,69,3,35.5,Medium,0.64,121,27.8,57.5,425.6,1889.9,52.1,Continental,Heatwave,Low
571,2021-06-01,NOAA1038,Canada,36.5814,-101.1343,120.4,29.6,37.2,26.2,8.5,0.0,51,42.2,NE,436.8,1021.5,99,5,43.0,Medium,5.24,97,24.5,49.1,416.9,1940.1,51.1,Arid,Coldwave,High
572,2022-12-09,NOAA1036,USA,28.1174,-105.0106,2879.7,4.8,12.6,0.9,18.3,0.0,51,34.9,SW,467.0,1016.0,21,8,27.7,Medium,1.01,97,23.4,42.5,419.0,1877.2,35.6,Tropical,Rain,Medium
573,2020-07-03,NOAA1009,Mexico,38.3284,-79.7903,14.8,38.8,41.8,36.2,7.0,0.0,46,25.6,W,659.0,1023.3,60,11,30.2,Medium,6.75,113,30.9,48.4,424.7,1870.5,28.7,Tropical,Storm,Low
574,2022-03-29,NOAA1018,Mexico,42.5289,-99.7982,1181.6,10.9,13.3,6.0,26.7,0.0,61,33.8,N,277.4,1006.2,77,3,47.0,Low,2.37,99,23.3,36.7,412.9,1796.5,40.5,Polar,Heatwave,Low
575,2023-08-15,NOAA1008,Canada,29.5113,-111.9598,1306.2,33.8,37.8,27.9,5.4,0.0,45,20.3,S,348.9,1019.8,86,8,24.1,Medium,6.99,125,25.4,55.3,417.9,1886.5,47.7,Polar,None,Medium
576,2024-07-09,NOAA1022,Mexico,42.5841,-86.6155,1213.4,32.8,39.6,29.8,4.5,0.0,39,7.5,W,649.0,1014.4,1,8,29.8,High,6.26,127,31.6,53.8,432.1,1926.3,25.1,Arid,Fog,High
577,2020-08-25,NOAA1028,Mexico,33.9478,-97.0078,1005.2,33.5,38.7,29.3,8.3,0.0,58,35.8,W,525.4,1014.6,49,11,33.9,Medium,5.04,112,24.9,62.1,417.2,1869.1,43.0,Continental,Heatwave,Low
578,2022-08-09,NOAA1002,USA,45.8295,-97.7657,150.2,34.9,40.5,30.7,8.1,0.0,48,20.3,S,713.5,993.9,3,9,29.9,Medium,5.82,122,23.2,52.4,426.8,1885.2,40.8,Temperate,Coldwave,Low
579,2022-01-01,NOAA1034,Mexico,34.5091,-114.0117,1605.0,0.4,3.2,-2.5,10.2,9.9,42,40.4,SW,877.5,1015.9,88,10,25.3,Medium,1.71,127,28.1,45.7,424.1,1866.6,57.5,Arid,Storm,Low
580,2020-10-27,NOAA1046,Mexico,44.4994,-118.236,1537.9,19.3,25.7,15.3,8.2,0.0,58,29.4,S,438.0,1008.1,2,3,47.8,Medium,3.41,101,31.3,54.6,425.0,1824.9,43.3,Temperate,Rain,High
581,2021-06-18,NOAA1039,Mexico,37.9398,-78.7578,2082.8,31.5,33.8,26.1,20.4,0.0,56,11.3,W,319.8,1012.3,88,3,35.6,Low,6.07,109,29.0,53.4,420.4,1930.8,35.1,Arid,None,Medium
582,2021-02-28,NOAA1026,Mexico,28.1144,-108.778,1797.2,4.5,12.4,0.6,16.8,0.0,45,11.5,N,667.2,997.9,28,2,33.3,Medium,2.13,117,26.7,54.3,410.8,1913.9,51.7,Arid,Coldwave,Medium
583,2022-09-01,NOAA1000,Canada,33.1743,-104.2571,1333.1,18.0,22.8,11.5,14.1,0.0,60,11.1,E,638.4,1014.0,32,7,34.5,Medium,4.4,95,27.8,54.2,424.5,1858.0,50.9,Arid,None,Low
584,2024-03-11,NOAA1023,Canada,32.0038,-106.0257,2023.5,16.6,18.8,10.9,79.6,0.0,98,9.2,SW,551.9,1004.0,53,1,72.6,Low,3.06,56,15.0,17.7,408.7,1903.6,35.8,Polar,Rain,Medium
585,2023-05-28,NOAA1006,Canada,30.2393,-67.4485,1712.2,24.0,27.1,21.0,12.1,0.0,45,35.4,W,540.1,1006.4,45,4,30.2,Medium,4.8,112,29.7,56.6,406.5,1881.1,24.2,Arid,Coldwave,High
586,2022-12-26,NOAA1014,Canada,36.876,-97.5569,2478.4,5.0,9.7,-2.5,1.4,0.0,47,9.6,S,102.7,1013.2,42,8,35.4,High,2.12,109,28.5,62.4,419.8,1878.2,44.8,Continental,Heatwave,Low
587,2023-07-27,NOAA1039,USA,28.3257,-88.6645,2996.7,30.1,35.7,23.7,13.6,0.0,43,42.7,SW,587.9,1010.8,21,10,32.1,Medium,5.88,114,21.8,55.2,413.1,1898.8,40.1,Continental,Coldwave,High
588,2024-11-03,NOAA1010,Canada,33.8575,-74.1449,525.6,10.9,18.5,3.4,3.6,0.0,43,15.9,S,151.9,1017.7,3,4,31.3,High,2.55,129,34.0,64.1,413.9,1894.9,34.3,Continental,Coldwave,High
589,2020-08-15,NOAA1021,USA,30.8767,-82.8434,209.5,27.6,34.1,21.5,37.1,0.0,76,19.5,NW,789.7,1013.2,9,7,60.5,Low,5.91,101,16.9,47.0,412.1,1907.9,39.4,Polar,Fog,Low
590,2022-06-17,NOAA1046,USA,32.0311,-101.2914,2466.9,25.7,32.3,21.5,9.0,0.0,55,32.8,NW,442.9,1018.6,15,2,32.8,Medium,4.38,103,30.0,52.8,419.5,1877.9,53.5,Arid,Rain,Low
591,2024-06-17,NOAA1013,Canada,27.331,-87.404,222.2,35.4,42.8,30.5,4.2,0.0,52,12.5,S,374.0,1004.0,88,8,33.7,High,6.21,116,29.6,59.8,413.8,1889.6,52.8,Tropical,Rain,High
592,2021-08-13,NOAA1014,Canada,38.5249,-83.3132,920.0,33.2,39.5,27.8,24.4,0.0,49,15.1,NW,638.6,1001.7,19,3,28.6,Low,5.56,104,21.5,42.4,433.0,1895.5,32.3,Tropical,Coldwave,Medium
593,2020-10-30,NOAA1000,Canada,33.7399,-95.0103,2610.7,12.4,17.5,7.5,24.5,0.0,67,40.7,SW,615.1,1012.8,75,9,43.9,Low,2.61,111,25.4,55.2,407.1,1912.0,47.5,Continental,Rain,Medium
594,2022-02-16,NOAA1042,USA,33.2168,-106.3694,672.9,1.3,5.0,-5.4,22.0,15.8,48,29.9,SW,499.0,1035.5,72,11,40.1,Low,1.87,116,28.5,53.8,431.0,1834.7,41.9,Arid,Fog,Low
595,2022-03-27,NOAA1006,Canada,37.178,-108.526,2885.0,7.8,14.9,2.6,14.7,0.0,63,5.4,N,457.3,1018.7,66,4,40.0,Medium,2.76,101,28.2,55.7,431.7,1917.9,47.7,Tropical,Rain,High
596,2024-01-09,NOAA1011,USA,48.5051,-108.8515,832.4,0.1,6.6,-6.3,22.7,18.3,62,41.0,E,518.0,1015.2,7,4,39.0,Low,1.19,112,24.0,49.4,416.8,1869.3,46.1,Temperate,Storm,High
597,2020-05-29,NOAA1030,USA,35.6056,-96.866,299.6,26.5,32.0,20.9,5.9,0.0,44,14.9,N,565.4,1008.4,14,8,35.2,Medium,4.36,128,33.4,52.1,407.7,1894.2,36.4,Continental,Coldwave,Medium
598,2022-10-05,NOAA1011,Canada,37.175,-94.6906,2854.3,17.5,21.3,10.3,9.9,0.0,60,12.7,S,642.3,996.9,64,5,44.0,Medium,2.85,106,27.4,51.4,417.7,1885.5,36.7,Polar,Heatwave,Medium
599,2020-11-30,NOAA1004,Canada,41.1514,-118.6096,2586.1,14.9,19.0,8.8,9.9,0.0,45,37.4,SE,723.0,1013.4,97,4,26.9,Medium,3.24,115,30.2,54.5,430.5,1891.0,46.9,Arid,Coldwave,Low
600,2023-03-15,NOAA1020,USA,29.6057,-101.4143,515.3,10.3,13.2,4.3,28.9,0.0,56,16.0,NW,622.8,1009.9,100,7,43.7,Low,2.08,92,22.5,52.7,421.3,1916.7,44.5,Arid,Storm,Low
601,2021-09-19,NOAA1046,Canada,44.9016,-106.0252,924.1,23.3,28.7,16.7,6.0,0.0,48,2.2,W,144.2,1003.3,52,6,35.9,Medium,3.77,128,31.2,47.4,424.8,1876.4,38.9,Tropical,Rain,High
602,2024-01-07,NOAA1018,Canada,25.5683,-99.6326,1147.2,1.3,6.6,-5.1,3.1,15.9,44,28.6,NW,785.1,1006.8,13,2,26.7,High,0.85,131,33.6,60.3,429.7,1880.3,48.4,Temperate,Fog,Medium
603,2023-11-09,NOAA1015,Canada,48.6863,-90.5915,178.0,8.3,10.6,4.2,7.5,0.0,54,25.1,NW,838.9,1004.2,14,8,31.9,Medium,2.74,117,32.9,60.9,432.5,1838.8,53.0,Tropical,Rain,High
604,2021-09-04,NOAA1012,Mexico,27.1121,-110.0221,1718.2,22.5,29.1,18.9,11.0,0.0,59,24.8,S,651.7,997.9,17,2,47.2,Medium,4.77,114,31.8,51.7,410.7,1832.7,41.0,Continental,Fog,Low
605,2021-01-12,NOAA1029,USA,36.0593,-105.0183,2033.0,-1.5,4.7,-5.0,39.4,15.0,68,3.0,NE,613.8,1021.0,54,7,52.5,Low,1.37,98,15.8,50.1,414.1,1966.2,38.1,Arid,None,High
606,2022-06-14,NOAA1032,Canada,43.9633,-95.9555,1724.4,28.0,33.8,21.6,27.7,0.0,52,26.3,NE,525.4,1023.2,65,2,37.6,Low,5.14,89,25.6,51.5,421.2,1898.3,40.5,Continental,Storm,Medium
607,2022-07-13,NOAA1041,Canada,26.7526,-87.0731,1019.4,20.1,25.3,13.9,16.2,0.0,48,37.3,W,811.5,1016.9,51,10,30.3,Medium,4.26,112,21.1,46.4,423.1,1912.5,27.8,Continental,Rain,Medium
608,2024-10-18,NOAA1037,Mexico,43.4267,-93.6552,1960.8,6.5,9.7,-0.4,17.8,0.0,52,41.8,E,251.1,1012.2,18,4,33.3,Medium,1.18,121,26.6,58.0,413.9,1898.6,22.4,Tropical,Coldwave,Medium
609,2020-05-21,NOAA1020,USA,40.796,-112.503,489.9,27.3,35.2,23.9,10.9,0.0,51,41.6,SW,121.8,1015.6,56,2,41.0,Medium,4.85,122,31.0,61.6,414.8,1903.4,40.1,Tropical,Heatwave,Low
610,2022-07-04,NOAA1025,USA,29.9352,-102.3112,2443.5,32.9,35.5,29.8,10.7,0.0,55,41.3,NE,230.3,998.3,26,2,45.6,Medium,6.42,116,29.8,51.0,412.4,1875.8,36.9,Tropical,Rain,Low
611,2024-06-25,NOAA1023,Canada,31.1268,-117.6164,1370.9,25.1,27.1,18.3,11.8,0.0,58,19.2,NE,383.7,1025.1,39,2,39.5,Medium,5.46,112,24.3,58.1,416.1,1861.4,38.6,Continental,Heatwave,Low
612,2021-07-16,NOAA1020,USA,28.3777,-109.8071,1693.7,33.0,35.8,30.1,13.2,0.0,62,31.9,N,148.9,1015.5,26,11,40.1,Medium,6.19,101,25.9,46.9,419.2,1939.0,32.2,Polar,Rain,High
613,2024-07-15,NOAA1023,USA,43.8774,-122.2911,612.2,34.9,39.3,30.7,12.3,0.0,47,38.2,SW,122.8,1004.1,3,6,25.4,Medium,6.18,101,31.1,44.8,416.7,1897.5,43.2,Continental,Coldwave,High
614,2022-12-11,NOAA1010,USA,25.3585,-72.8602,276.4,3.1,11.0,0.4,31.5,0.0,58,22.5,W,784.9,993.6,68,8,34.8,Low,1.67,73,20.2,43.6,427.1,1889.8,37.6,Arid,Rain,Medium
615,2023-09-06,NOAA1023,Mexico,41.0424,-118.5053,1478.4,26.9,33.9,21.5,21.6,0.0,64,7.4,E,744.4,1014.5,18,4,47.3,Low,5.52,108,22.4,51.5,395.9,1922.8,41.9,Tropical,Rain,Medium
616,2021-01-13,NOAA1021,Mexico,48.375,-85.9037,1559.8,-3.4,2.1,-10.7,5.5,15.2,47,7.7,W,399.8,1005.2,18,10,36.7,Medium,1.19,123,29.9,63.1,413.6,1906.0,38.4,Tropical,None,Low
617,2023-07-23,NOAA1015,USA,34.5223,-123.3324,1442.3,26.3,33.4,23.2,2.3,0.0,37,39.4,W,461.7,1013.6,27,8,27.8,High,5.04,109,31.9,62.0,417.9,1878.5,46.4,Polar,Storm,Medium
618,2021-01-16,NOAA1021,Canada,43.5282,-97.99,289.5,-6.4,0.7,-13.0,13.8,5.3,51,35.6,W,613.8,1017.5,69,3,29.2,Medium,0.99,98,22.8,57.4,417.3,1834.3,48.7,Tropical,Storm,Medium
619,2022-07-15,NOAA1035,USA,48.191,-68.6143,547.8,34.6,41.5,27.3,46.2,0.0,75,24.0,E,772.0,1031.2,28,1,47.7,Low,6.68,91,19.5,29.9,420.0,1947.1,29.0,Polar,Coldwave,Low
620,2024-06-26,NOAA1023,Mexico,30.5302,-70.0117,1592.6,30.1,34.3,27.5,43.4,0.0,78,9.1,SE,774.6,1016.4,96,3,55.3,Low,6.43,88,22.7,33.9,430.3,1875.6,36.8,Continental,Storm,Medium
621,2022-12-04,NOAA1030,Canada,32.7261,-82.8718,900.0,-2.5,-0.1,-8.8,6.3,13.4,51,11.0,NE,147.4,997.7,52,3,30.0,Medium,1.27,113,27.3,50.0,431.6,1896.9,25.3,Continental,Heatwave,High
622,2021-01-31,NOAA1022,USA,30.4313,-69.9041,421.3,4.6,9.0,-1.8,8.1,0.0,46,27.2,E,264.7,1018.6,18,11,28.6,Medium,1.34,103,28.2,56.4,406.3,1901.3,16.8,Polar,Heatwave,Low
623,2023-09-14,NOAA1019,USA,37.9902,-89.228,461.0,26.4,33.7,19.9,14.1,0.0,57,33.0,S,859.6,1016.8,5,7,45.3,Medium,4.47,119,25.7,46.3,421.7,1856.3,41.9,Continental,Storm,Low
624,2022-12-06,NOAA1005,Mexico,39.4796,-89.8543,1087.6,6.1,13.3,0.1,6.4,0.0,41,38.0,W,437.3,1024.4,81,2,34.5,Medium,1.48,115,32.4,59.6,401.9,1863.9,37.0,Arid,Heatwave,High
625,2024-09-08,NOAA1022,USA,25.3102,-83.3535,1456.6,26.2,31.7,22.9,7.0,0.0,47,20.7,S,183.2,1003.0,99,8,33.9,Medium,5.6,122,29.3,63.9,419.5,1919.7,42.3,Continental,None,High
626,2020-08-08,NOAA1041,USA,38.815,-117.304,2292.1,22.0,26.2,16.0,4.8,0.0,55,40.9,W,752.2,1020.4,91,1,36.1,High,4.88,129,29.5,58.1,407.4,1851.2,39.2,Continental,Fog,High
627,2024-05-11,NOAA1042,USA,30.1849,-113.698,1891.6,14.0,18.0,10.2,5.4,0.0,51,19.7,N,683.2,1008.3,32,6,40.8,Medium,2.79,114,26.4,63.0,419.5,1914.6,56.7,Arid,Heatwave,High
628,2023-07-24,NOAA1049,USA,30.0251,-80.0639,1641.8,25.0,28.9,20.6,29.2,0.0,60,17.0,E,775.8,1020.8,11,6,39.6,Low,4.83,89,20.9,41.5,422.1,1875.6,41.2,Temperate,Fog,Medium
629,2021-10-02,NOAA1031,Mexico,29.4686,-102.1863,794.0,14.4,20.6,10.3,6.5,0.0,57,36.7,SW,703.8,1018.5,21,6,32.2,Medium,2.54,117,32.5,60.8,408.1,1891.7,49.7,Polar,Storm,High
630,2023-01-07,NOAA1025,Mexico,41.6953,-112.6787,271.6,-5.1,0.5,-12.4,5.1,8.1,43,13.3,SW,526.3,1014.0,50,3,36.8,Medium,0.5,117,29.9,66.9,414.0,1872.8,53.2,Arid,Rain,Medium
631,2024-08-18,NOAA1015,Mexico,28.7203,-67.4174,79.1,27.1,30.4,20.9,8.2,0.0,40,11.4,SE,452.3,1003.1,27,3,20.2,Medium,4.55,97,31.5,55.6,415.0,1929.3,38.4,Continental,Heatwave,High
632,2023-02-02,NOAA1012,Canada,29.4654,-94.4414,1198.9,1.1,6.6,-6.3,13.8,7.7,61,13.2,SW,742.7,999.0,33,7,40.6,Medium,1.97,106,24.8,50.2,420.8,1904.2,51.2,Tropical,Storm,High
633,2021-05-20,NOAA1037,USA,27.3189,-71.7037,2956.5,17.8,24.1,12.6,9.6,0.0,57,6.5,SE,676.1,1011.6,91,11,47.5,Medium,4.31,109,27.3,56.7,419.8,1895.7,49.8,Temperate,Heatwave,High
634,2022-06-15,NOAA1037,Canada,26.5518,-67.24,66.3,23.7,28.4,17.8,6.9,0.0,54,40.5,NW,794.1,1021.3,18,2,40.7,Medium,3.69,115,29.0,65.5,416.3,1828.5,47.5,Temperate,Fog,High
635,2022-10-02,NOAA1045,USA,48.669,-111.7334,1356.3,21.4,26.6,15.4,28.0,0.0,64,16.2,W,215.4,1025.8,69,11,46.2,Low,4.94,80,25.1,43.2,423.8,1874.2,26.7,Temperate,None,High
636,2020-05-10,NOAA1026,Mexico,28.869,-112.9067,2939.3,24.0,30.6,16.1,1.4,0.0,51,37.9,N,619.5,1010.5,63,2,33.0,High,3.79,128,30.4,68.3,421.4,1938.2,42.6,Continental,Heatwave,Medium
637,2023-11-27,NOAA1008,Canada,29.3918,-106.2619,532.2,18.1,22.7,14.6,1.6,0.0,50,5.9,S,421.1,1012.3,29,6,42.8,High,3.98,124,29.1,51.1,403.7,1901.9,38.0,Arid,None,High
638,2020-05-04,NOAA1003,Mexico,33.9555,-114.3948,2890.8,15.3,20.5,13.3,18.0,0.0,62,18.5,N,740.0,1018.7,72,10,41.4,Medium,2.43,98,22.4,53.4,425.2,1923.3,36.7,Tropical,Coldwave,Low
